"Scope","Rule","Severity","Count","ExampleFile","ExampleLine","ExampleMessage"
"Vendor/generated/other","CoVariantArrayConversion","warning","2","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/AssemblyReader.cs","1199","Co-variant array conversion from AssemblyNameReference[] to IMetadataScope[] can cause run-time exception on write operation"
"Vendor/generated/other","CollectionNeverQueried.Global","warning","1","Assets/FishNet/Runtime/Managing/Server/ServerManager.RpcLinks.cs","15","Content of collection 'RpcLinks' is only updated but never used"
"Vendor/generated/other","CollectionNeverQueried.Local","warning","4","Assets/FishNet/Runtime/Editor/NetworkProfiler/PacketGroup.cs","34","Content of collection '_packets' is only updated but never used"
"Vendor/generated/other","CollectionNeverUpdated.Global","warning","1","Assets/FishNet/CodeGenerating/Helpers/CodegenSession.cs","29","Content of collection 'DifferentAssemblySyncVars' is never updated"
"Vendor/generated/other","CompareOfFloatsByEqualityOperator","warning","57","Assets/FishNet/Runtime/Generated/Component/NetworkAnimator/NetworkAnimator.cs","2776","Equality comparison of floating point numbers. Possible loss of precision while rounding values"
"First-party","CompareOfFloatsByEqualityOperator","warning","6","Assets/Game/Editor/AvatarProcessor.cs","758","Equality comparison of floating point numbers. Possible loss of precision while rounding values"
"Vendor/generated/other","ConditionIsAlwaysTrueOrFalse","warning","44","Assets/FishNet/CodeGenerating/Helpers/Typed/GeneratorHelper.cs","134","Expression is always false"
"First-party","ConditionIsAlwaysTrueOrFalse","warning","12","Assets/Game/Editor/BakeTools.cs","191","Expression is always false"
"Vendor/generated/other","ConstantConditionalAccessQualifier","warning","2","Assets/FishNet/Runtime/Generated/Component/NetworkAnimator/NetworkAnimator.cs","3071","Conditional access qualifier expression is known to be not null"
"Vendor/generated/other","ConstantNullCoalescingCondition","warning","1","Assets/FishNet/CodeGenerating/Helpers/Extension/ModuleDefinitionExtensions.cs","46","'??' left operand is never 'null'"
"Vendor/generated/other","ConvertConstructorToMemberInitializers","note","4","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/BaseAssemblyResolver.cs","81","Convert constructor into member initializers"
"Vendor/generated/other","ConvertIfStatementToConditionalTernaryExpression","note","39","Assets/FishNet/CodeGenerating/Helpers/Extension/TypeDefinitionExtensions.cs","229","Convert into '?:' expression"
"First-party","ConvertIfStatementToConditionalTernaryExpression","note","2","Assets/Game/Runtime/Player/PlayerHandPresentation.cs","325","Convert into '?:' expression"
"Vendor/generated/other","ConvertIfStatementToNullCoalescingAssignment","note","53","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/CodeWriter.cs","380","Convert into '??='"
"Vendor/generated/other","ConvertIfStatementToNullCoalescingExpression","note","10","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","772","Convert into '??' expression"
"Vendor/generated/other","ConvertToAutoProperty","note","1","Assets/FishNet/Runtime/Serializing/Helping/Broadcasts.cs","142","Convert into auto-property"
"First-party","ConvertToAutoProperty","note","2","Assets/Game/Runtime/Items/HeldItemPose.cs","160","Convert into auto-property"
"Vendor/generated/other","ConvertToNullCoalescingCompoundAssignment","note","3","Assets/FishNet/CodeGenerating/Helpers/Extension/ModuleDefinitionExtensions.cs","46","Convert into compound assignment"
"Vendor/generated/other","ConvertToStaticClass","note","10","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/GenericParameterResolver.cs","6","Convert into static class"
"Vendor/generated/other","ConvertToUsingDeclaration","note","7","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/PortablePdb.cs","183","Convert into 'using' declaration"
"Vendor/generated/other","DuplicatedStatements","warning","4","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","254","Duplicated statements"
"Vendor/generated/other","EmptyConstructor","warning","2","Assets/_3rdParty/LeanTween/Framework/LTDescr.cs","104","Empty constructor is redundant. The compiler generates the same by default."
"Vendor/generated/other","EmptyGeneralCatchClause","warning","11","Assets/FishNet/Runtime/Transporting/Transports/Synapse/SynapseSocket/Core/SynapseManager.cs","438","Empty general catch clause suppresses any errors"
"Vendor/generated/other","EmptyNamespace","warning","1","Assets/FishNet/Runtime/Connection/OldTickOption.cs","3","Empty namespace declaration is redundant"
"Vendor/generated/other","EmptyRegion","note","3","Assets/FishNet/CodeGenerating/Helpers/TimeManagerHelper.cs","10","This region is empty"
"Vendor/generated/other","EmptyStatement","warning","1","Assets/_3rdParty/LeanTween/Framework/LTDescr.cs","186","Empty statement is redundant"
"Vendor/generated/other","EnumUnderlyingTypeIsInt","warning","8","Assets/FishNet/Runtime/Editor/Configuring/ConfigurationData.cs","12","'int' is default enum governing type"
"Vendor/generated/other","EventNeverInvoked.Global","note","1","Assets/FishNet/Runtime/Transporting/Transports/Synapse/SynapseSocket/CodeBoost/Environment/IApplicationState.cs","9","Event 'FocusChanged' is not invoked in any of the implementations"
"First-party","EventNeverSubscribedTo.Global","note","1","Assets/Game/Runtime/Avatars/AvatarPresentation.cs","65","Event 'BeforeEvaluation' is never subscribed to"
"Vendor/generated/other","EventNeverSubscribedTo.Global","note","23","Assets/FishNet/Runtime/Transporting/Transports/Synapse/SynapseSocket/CodeBoost/Environment/ApplicationState.cs","34","Event 'FocusChanged' is never subscribed to"
"Vendor/generated/other","ExpressionIsAlwaysNull","warning","4","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/TypeParser.cs","204","Expression is always null"
"Vendor/generated/other","FieldCanBeMadeReadOnly.Global","note","126","Assets/FishNet/CodeGenerating/Helpers/CodegenSession.cs","29","Field can be made readonly"
