"Scope","Rule","Severity","Category","File","Line","Message","Title","Impact"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","582","'System.Collections.Generic.List`1<System.Net.IPEndPoint>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","652","'LiteNetLib.NetPeer' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","659","'LiteNetLib.NetPeer' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","746","'LiteNetLib.ConnectionRequest' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","807","'Byte' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","990","'LiteNetLib.NetEvent' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1008","'LiteNetLib.NetEvent' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1492","'System.InvalidOperationException' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1516","'LiteNetLib.NetPeer' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1563","'System.Collections.Concurrent.ConcurrentQueue`1<System.Int32>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1692","'LiteNetLib.Utils.NtpRequest' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1703","'LiteNetLib.Utils.NtpRequest' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1713","'LiteNetLib.Utils.NtpRequest' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1723","Conversion from value type 'NetPeerEnumerator' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2000","Moderate","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","1728","Conversion from value type 'NetPeerEnumerator' to ref type","Boxing Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.Socket.cs","196","'System.Net.Sockets.SocketException' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.Socket.cs","207","'System.Net.IPAddress' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.Socket.cs","217","'System.Net.IPAddress' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.Socket.cs","228","'System.Net.IPEndPoint' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetManager.cs","86","'LiteNetLib.NetPacketReader' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPacket.cs","122","'Byte' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/NetPacket.cs","129","'Byte' array allocation","Array Allocation","Memory"
